name,datetiem,text,rate
东林君,2018-01-17,有的人死了，他还活着,力荐
Lycidas,2018-02-21,有很多喜欢的地方，但更多的是遗憾。遗憾导演没有再抵御这个世界的严寒更久一些。若他活下去，可能就不会这么狭隘，不会把经验和常识不足当作外界加诸的苦难，把故作深沉当作青春姿态，也不会把父母和成年人都当作敌人。他再也没机会理解挣扎熬过去是什么感觉，是更苦涩，还是更宽广。,还行
Peter Cat,2018-02-21,结尾剧作和台词都露了馅，陷入一种偏执的无路可走，但这个死胡同其实是假的，是作者自己给自己按上去的，他当然知道出路或许是可能的，但他不相信，不相信事情和人是会变的，他更愿意相信那个死胡同，那个速朽的永恒。无论是电影还是真实生活。,推荐
云隐Gabrielle,2018-02-18,一群猪飞上天的年代，不从事艺术行业的父母是新一代穷艺术家们的最大对立面和最终连带受害者。没办法单纯冷静地评价这部电影，全片看下来眼泪一直凝在鼻子里。斯人已逝，希望胡波父母能好过一些。,力荐
咯咯精,2018-02-17,你总是不高兴，跟个诗人似的。,还行
麦香鱼配🍟套餐,2018-03-01,“你以为别人是傻逼看不出来你那要表达的肤浅的东西？？”,很差
陀螺凡达可,2018-02-17,一股原始生猛的影像力量。,推荐
岳漟,2018-02-24,这个片子实在是……应该说，这个导演的心里实在是开不出一朵美丽的花。没有春天的人，拍出来的东西大约也是吻合他的偏执的。对于世界的认识与理解狭隘，模块化。就如三言，文字美妙，观点实在是男权封建。喜欢不起来。,还行
水怪,2018-03-25,华语电影的确很多年没有出现这样单纯展示愤怒与绝望情绪的电影了，这在很多过来人眼中的确还是一个稍显幼稚的表达。但对生活不满，纯粹骂街式的态度是青年人绝对必要的一个阶段。集体性理中客式的青年状态对于一个民族来讲甚至是恐怖的。,推荐
法棍老人,2018-02-28,别拍电影，别当作家，学个绘画，或者音乐，哪怕跳跳舞也行。——胡波。,力荐
胤祥,2018-02-17,#Berlin2018# 友情加一星。大概是中国乃至世界范围内拍得最像贝拉·塔尔的（真的是学到影像逻辑的精髓了，音乐也是）用塔爷的方法讲了个一天之内的多线故事。影像风格比较像日本丧片。但是世间哪有这么多恨啊……还有的问题便是塔爷的风格和强戏剧性真的不搭，而且感悟式的说教也太多了点,推荐
罌至,2018-04-04,認認真真恭恭敬敬地看了完整版之後才有底氣說出我不喜歡這部片子。世界觀這麼狹隘偏激的人註定成不了大事。片中的三觀也真是200多邁的速度開歷史倒車，跟女德班不相上下了。一切都是你自找的。王小帥說的一點沒錯，“你以为别人是傻逼看不出来你那要表达的肤浅的东西？？” 這四個小時我幹點什麼不好..,很差
木卫二,2018-04-02,去满洲里的人，不过是害怕坐在原地等老待死的生活无望。整片是又一出中国式家庭大型互害飙粗现场，狗逼狗屎废物泼妇瘪三恶心之类台词，接连不断，夹杂一些人生是痛苦的说教沉迷。长镜头设计相当用心，却像一把攥紧的双刃，刺向观众也刺中自己。一个成熟的导演，需要三部作品才能风格成型。我甚至想不到仅拍过一部电影就遗留在世上的电影导演。很遗憾，不需要评价胡波了。,还行
LORENZO,2018-02-17,悲怆的个人以及时代挽歌，致郁力百分之三百。四小时讲述的四个家庭盘根错节的愤怒与仇恨，对话极其冷酷，爱被深深埋进了故事线。音效渣，后期还有大量工作，但表演真是很赞，长镜头叙事也极具个人风格。你终于去了你魂牵梦绕的满洲里，一场电影结束了仿佛看完了你的一生。感谢胡波，R.I.P.,推荐
陆支羽,2018-07-22,4.5。是啊，胡波并不是丧，是向死而生。无论是《井里的人》还是《大象席地而坐》，都是在狗日的绝望中寻找操蛋的希望，即便整个世界只剩下穷途末路的肮脏废墟，即便满洲里的大象只是空有嘶鸣的幻影。选择速朽，难道不是一种永恒吗？至少在那个出逃的夜晚，他们曾暂时放下愤怒，围在一起勇敢地踢毽子，宛如轮舞。,力荐
桃桃淘电影,2018-04-06,7，有很惊喜的地方，也有很遗憾的地方。但归根结底，它是不同的，胡波本身在文本上还是有基础的，有些镜头设计也很用心，配乐用得很出色。只可惜，这是唯一一部了……,推荐
凌睿,2018-08-03,"即便是张艺谋、冯小刚这样的导演，一旦创作受到资本的干涉就会严重影响影片质量。胡波的电影经历那么多风浪还能完成度很高，已经非常不错了。
我们无法想象，假如制片人、监制多给胡波一些自由和空间，电影是不是会更好。可惜，我们永远也等不到那一天了。
PS：11月17日，《大象席地而坐》获得金马奖最佳影片和最佳改编剧本，这应该是对当初不看好导演和这部电影的人们最有力的回击。",推荐
邢早早,2018-03-25,香港艺术中心的空调冷的我骨头缝疼，尽管如此，我还是睡过去了3次。对不起了导演，不好看就是不好看。我觉得自己这四个小时应该去爬太平山。,较差
次等水货,2018-07-21,这个故事太真实了，就是我身边发生过或在我成长过程里看到过的，电影中的那些事件对峙、心理对峙，没有生活经验和内心思考过的人是做不出这样的电影的。大量的长镜头、跟拍，镜头虚实结合，在物理上它们不是景深镜头，可它们在叙事层面上却是极有深度的。导演原本有机会成为华语电影最有影响力的导演。,力荐
無雲,2018-02-27,"首先逝者安息。
其次想说，导演很有才华，值得肯定。这种比较灰色的丧风格我很喜欢。他也应该算是中国导演新生代的有风格的一个。
最后就是，我希望我们不要因为一个人或者一样东西离开了就神化他／她／它。客观评价没那么好。",还行
name,datetiem,text,rate
小易甫,2018-02-18,翻译一下后期制片人对深焦编辑部的回答：你的问题我谈不上，我也不想鸟你。,推荐
haize,2018-03-03,很久没有在电影中见过如此狭窄的世界了  一星给结尾,很差
